acheteur,acheteuse,acheteu.r.se,,
acquéreur,acquéreuse; acquéresse (droit),acquéreu.r.se,,
actuaire,actuaire,actuaire,,
acuponcteur,acuponctrice,acuponc.teur.trice,,
adjoint,adjointe,adjoint.e,,
adjoint administratif,adjointe administrative,adjoint.e administrati.f.ve,,
administrateur,administratrice,administra.teur.trice,,
agent,agente,agent.e,,
agent immobilier,agente immobilière,agent.e immobilier.e,,
agriculteur,agricultrice,agricul.teur.trice / paysan.ne,,
agronome,agronome,agronome,,
agresseur,agresseuse,agresseu.r.se,,
aide-comptable,aide-comptable,aide-comptable,,
aide-mécanicien,aide-mécanicienne,aide-mécanicien.ne,,
ajusteur,ajusteuse,ajusteu.r.se,,
ambulancier,ambulancière,ambulancier.e,,
ambassadeur,ambassadrice,ambassadeur.drice,,
analyste financier,analyste financière,analyste financier.ère,,
animateur,animatrice,anima.teur.trice,,
annonceur,annonceuse,annonceu.r.se,,
apiculteur,apicultrice,apicul.teur.trice,,
appariteur,apparitrice,appari.teur.trice,,
applicateur,applicatrice,applica.teur.trice,,
apprenti,apprentie,apprenti.e,,
arbitre,arbitre,arbitre,,
arboriculteur,arboricultrice,arboricul.teur.trice,,
archéologue,archéologue,archéologue,,
architecte,architecte,architecte,,
archiviste,archiviste,archiviste,,
arpenteur-géomètre,arpenteuse-géomètre,arpenteur.se-géomètre,,
artisan,artisane,artisan.e,,
assembleur,assembleuse,assembleu.r.se,,
assistant,assistante,assistant.e,,
associé,associée,associé.e,,
assureur,assureure,assureu.r.e,,
astrologue,astrologue,astrologue,,
astronome,astronome,astronome,,
attaché,attachée,attaché.e,,
auteur,auteure / autrice,au.teur.trice,,
auxiliaire,auxiliaire,auxiliaire,,
aviculteur,avicultrice,avicul.teur.trice,,
avocat,avocate,avocat.e,,
ayant droit,ayant droit,un.e ayant-droit,,
bagagiste,bagagiste,bagagiste,,
banquier,banquière,banquièr.e,,
bibliothécaire,bibliothécaire,bibliothécaire,,
bijoutier,bijoutière,bijoutièr.e,,
biologiste,biologiste,biologiste,,
blanchisseur,blanchisseuse,blanchisseu.r.se,,
botaniste,botaniste,botaniste,,
bottier,bottière,bottier.ère,,
boucher,bouchère,bouch.er.ère,,
boulanger-pâtissier,boulangère-pâtissière,boulanger.ère-patissier.ère,,
boursier,boursière,boursier.ère,,
boxeur,boxeuse,boxeu.r.se,,
brigadier,brigadière,bigadier.ère,,
briqueteur-maçon,briqueteuse-maçonne,briqueteur.euse-maçon.ne,,
bruiteur,bruiteuse,bruiteu.r.se,,
buandier,buandière,buandier.e,,
bûcheron,bûcheronne,bucheron.ne,,
cadet,cadette,cadet.te,,
cadre,cadre,cadre,,
cadreur,cadreuse,cadreu.r.se,,
caissier,caissière,caissier.e,,
cambiste,cambiste,cambiste,,
camelot,camelot,camelot,,
camionneur,camionneuse,camionneu.r.se,,
cardiologue,cardiologue,cardiologue,,
cartographe,cartographe,cartographe,,
cascadeur,cascadeuse,cascadeu.r.se,,
catalogueur,catalogueuse,catalogueur.se,,
cégépien,cégépienne,cégépie.n.ne,,
chanteur,chanteuse; cantatrice,chanteu.r.se,,
charpentier,charpentière,charpentier.e,,
chasseur de têtes,chasseuse de têtes,chasseur.euse de tête,,
chauffeur,chauffeuse,chauffeu.r.se,,
chef,cheffe,chef.fe,,
chercheur,chercheuse,chercheu.r.se,,
chiropraticien,chiropraticienne,chiropracticie.n.ne,,
chirurgien,chirurgienne,chirurgie.n.ne,,
chômeur,chômeuse,chômeu.r.se / privé.e. d'emploi,,
chorégraphe,chorégraphe,chorégraphe,,
chroniqueur,chroniqueuse,chroniqueu.r.se,,
coiffeur,coiffeuse,coiffeu.r.se,,
comédien,comédienne,comédie.n.ne,,
commis,commis.e,commis.e,,
commis-vendeur,commis-vendeuse,commis.e-vendeu.r.se,,
commissaire,commissaire,commissaire,,
communicateur,communicatrice,communica.teur.trice,,
communicant,communicante,communicant.e,,
compositeur,compositrice,composi.teur.trice,,
concepteur,conceptrice,concep.teur.trice,,
concierge,concierge,concierge,,
conducteur,conductrice,conduc.teur.trice,,
conférencier,conférencière,conférencier.e,,
conseil,conseil,conseil,,
conseiller,conseillère,conseiller.e,,
conservateur,conservatrice,conserva.teur.trice,,
consul,consule,consul.e,,
consultant,consultante,consultant.e,,
contractuel,contractuelle,contractue.l.le,,
contremaître,contremaîtresse,contremaître.sse,,
contrôleur,contrôleuse,contrôleu.r.se,,
coopérant,coopérante,coopérant.e,,
coordonnateur,coordonnatrice,coordona.teur.trice,,
copiste,copiste,copiste,,
cordonnier,cordonnière,cordonnier.e,,
coroner,coroner,coroner,,
correcteur,correctrice,correc.teur.trice,,
correspondancier,correspondancière,correspondancier.e,,
courrier,courrière,courrier.e,,
courtier,courtière,courtier.e,,
couseur,couseuse,couseu.r.se,,
couturier,couturière,couturier.e,,
couvreur,couvreuse,couvreu.r.euse,,
créateur,créatrice,créa.teur.trice,,
croupier,croupière,croupier.e,,
cuisinier,cuisinière,cuisinier.e,,
cultivateur,cultivatrice,cultiva.teur.trice,,
danseur,danseuse,danseu.r.se,,
danseur de ballet,ballerine; danseuse de ballet,ballerine/danseu.r.se de ballet,,
débardeur,débardeuse,débardeu.r.se,,
débosseleur,débosseleuse,débosseleu.r.se,,
décorateur,décoratrice,décora.teur.trice,,
défendeur,défenderesse (droit),défend.eur.eresse,,
défenseur,défenseuse,défenseu.r.se,,
délateur,délatrice,déla.teur.trice,,
délégué,déléguée,délégué.e,,
déménageur,déménageuse,déménageu.r.se,,
démonstrateur,démonstratrice,démonstra.teur.trice,,
dentiste,dentiste,dentiste,,
denturologiste,denturologiste,denturologiste,,
dépanneur,dépanneuse,dépanneu.r.se,,
député,députée,député.e,,
dessinateur,dessinatrice,dessina.teur.trice,,
détective,détective,détective,,
détenteur,détentrice,déten.teur.trice,,
diététiste,diététiste,diététiste,,
diplomate,diplomate,diplomate,,
diplômé,diplômée,diplômé.e,,
directeur,directrice,direc.teur.trice,,
dirigeant,dirigeante,dirigeant.e,,
docteur,docteure,docteur.e,,
documentaliste,documentaliste,documentaliste,,
doyen,doyenne,doye.n.ne,,
ébéniste,ébéniste,ébéniste,,
éboueur,éboueuse,éboueu.r.se,,
éclairagiste,éclairagiste,éclairagiste,,
économiste-conseil,économiste-conseil,économiste-conseil,,
écrivain,écrivaine,écrivain.e,,
éditeur,éditrice,édi.teur.trice,,
éditorialiste,éditorialiste,éditorialiste,,
éducateur,éducatrice,éduca.teur.trice,,
électricien,électricienne,électricie.n.ne,,
éleveur,éleveuse,éleveu.r.se,,
emballeur,emballeuse,emballeu.r.se,,
embaumeur,embaumeuse,embaumeu.r.se,,
émetteur,émettrice,émet.teur.trice,,
employeur,employeuse,emplouey.r.se,,
emprunteur,emprunteuse,emprunteu.r.se,,
enquêteur,enquêtrice,enquê.teur.trice,,
enseignant,enseignante,enseignant.e,,
entraîneur,entraîneuse,entraîneu.r.se,,
entrepreneur,entrepreneuse,entrepreneu.r.se,,
