masc_sing,masc_plur,inc_sing,fem_sing,fem_plur,inc_plur
eur,eurs,eur·e,trice,trices,eur·es
iste,istes,iste·e,iste,istes,iste·es
ible,ibles,ible·e,ible,ibles,ible·es
âtre,âtres,âtre·e,âtre,âtres,âtre·es
able,ables,able·e,able,ables,able·es
ois,ois,ois·e,oise,oises,ois·es
ien,iens,ien·ne,ienne,iennes,ien·nes
eux,eux,eux·e,euse,euses,eux·es
eur,eurs,eur·e,euse,euses,eur·es
eur,eurs,eur·e,eure,eures,eur·es
aud,auds,aud·e,aude,audes,aud·es
ard,ards,ard·e,arde,ardes,ard·es
ant,ants,ant·e,ante,antes,ant·es
ais,ais,ais·e,aise,aises,ais·es
ain,ains,ain·e,aine,aines,ain·es
ot,ots,ot·te,otte,ottes,ot·tes
ot,ots,ot·e,ote,otes,ot·es
if,ifs,if·e,ive,ives,if·es
gu,gus,gü·e,güe,gües,gü·es
gu,gus,gu·ë,guë,guës,gü·es
et,ets,et·te,ette,ettes,et·es
el,els,el·le,elle,elles,el·les
el,els,el·èle,èle,èles,el·èles
al,aux,al·e,ale,ales,al·es
al,als,al·e,ale,ales,al·es
u,us,u·e,ue,ues,u·es
i,is,i·e,ie,ies,i·es
f,fs,f·e,ve,ves,f·es
é,és,é·e,ée,ées,é·es
e,es,e·e,e,es,e·es
