DOUBLE_FLEXION_MASC,DOUBLE_FLEXION_FEM,LECTURE_SILENCIEUSE,NUITDEBOUTISTE ,DEBINARISANTE,VERSION_LES_MOTS_CLÉS,Contraction_(néologismes),LECTURES_SILENCIEUSES_V1,Conversion automatique mas V1,Conversion automatique fem V1,Conversion automatique inclusive V1
achet,,,,,,,,,,
acheteur,acheteuse,acheteur·euse,achet·eur·euse,pas d'usage connu,acheteur·euse,,achet·eur·euses,,,
acquéreur,acquéreuse,acquéreur·euse,acquéreu⋅r⋅se,acquéreur·e ,acquéreur·euse·s,,acquéreur·euses,,,
acquéreur,acquéresse,acquéreur·esse,acquéreu⋅r⋅esse,,,,acquéreur·euses,,,
actuaire,actuaire,actuaire,actuaire,actuaire,actuaire,,actuaires,,,
acupuncteur,acupunctrice,acupunteur·trice,acupunc⋅teur⋅trice,acupuncteur·e,acupuncteur·rice,,acupunteur·trices,,,
adjoint,adjointe,adjoint·e,adjoint⋅e,adjoint·e,adjoint·e,,adjoint·es,,,
adjoint administratif,adjointe administrative,adjoint·e administratif·ve,adjoint⋅e administrati⋅f⋅ve,adjoint·e administratif·ve,adjoint·e administratif·ve,,adjoint·es administratif·ves,,,
administrateur,administratrice,administrateur·trice,administra·teur·trice,administrateur·e,administrateur·rice,,administrateur·trices,,,
agent,agente,agent·e,agent⋅e,agent·e,agent·e,,agent·es,,,
agent immobilier,agente immobilière,agent·e immobilier·ère,agent⋅e immobilièr⋅e,agent·e immobilier·e,agente·e immobilier·ère,,agent·es immobilier·ères,,,
agriculteur,agricultrice,agriculteur·trice,agricul⋅teur⋅trice,pas d'usage connu,agriculteur·rice,,agriculteur·trices,,,
agronome,agronome,agronome,agronome,agronome,agronome,,agronomes,,,
agresseur,agresseuse,agresseur·euse,agresseu⋅r⋅se,agresseur·e,agresseur·euse,,agresseur·euses,,,
aide-comptable,aide-comptable,aide-comptable,aide-comptable,aide-comptable,aide-comptable,,aides-comptables,,,
aide-mécanicien,aide-mécanicienne,aide-mécanicien·ne,aide-mécanicien⋅ne,aide-mécanicienne,aide-mécanicienne,,aides-mécanicien·nes,,,
ajusteur,ajusteuse,ajusteur·euse,ajusteu⋅r⋅se,pas d'usage connu,ajusteur·euse,,ajusteur·euses,,,
ambulancier,ambulancière,ambulancier·ère,ambulancier⋅e,ambulancier·e,ambulanci,,ambulancier·ères,,,
ambassadeur,ambassadrice,ambassadeur·drice,ambassadeur⋅drice,ambassadeure,,,ambassadeur·drices,,,
ambassadeur,ambassaderesse,ambassadeur·deresse,ambassadeur,,,,ambassadeur·deresses,,,
analyste financier,analyste financière,analyste financier·ère,analyste financier⋅ère,,,,analystes financier·ères,,,
animateur,animatrice,animateur·trice,anima⋅teur⋅trice,,,,animateur·trices,,,
annonceur,annonceuse,annonceur·euse,annonceu⋅r⋅se,,,,annonceur·euses,,,
apiculteur,apicultrice,apiculteur·trice,apicul⋅teur⋅trice,,,,apiculteur·trices,,,
appariteur,apparitrice,appariteur·trice,appari⋅teur⋅trice,,,,appariteur·trices,,,
applicateur,applicatrice,applicateur·trice,applica⋅teur⋅trice,,,,applicateur·trices,,,
apprenti,apprentie,apprenti·e,apprenti⋅e,,,,apprenti·es,,,
arbitre,arbitre,arbitre,arbitre,,,,arbitres,,,
arboriculteur,arboricultrice,arboriculteur·trice,arboricul⋅teur⋅trice,,,,arboriculteur·trices,,,
archéologue,archéologue,archéologue,archéologue,,,,archéologues,,,
architecte,architecte,architecte,architecte,,,,architectes,,,
archiviste,archiviste,archiviste,archiviste,,,,archivistes,,,
arpenteur-géomètre,arpenteuse-géomètre,arpenteur·trice-géomètre,arpenteur⋅se-géomètre,,,,arpenteur·trices-géomètres,,,
artisan,artisane,artisan·e,artisan⋅e,,,,artisan·es,,,
assembleur,assembleuse,assembleur·se,assembleu⋅r⋅se,,,,assembleur·ses,,,
assesseur,assesseuse,assesseur·se,assesseu·r·se,assesseur·e,,,assesseur·ses,,,
assistant,assistante,assistant·e,assistant⋅e,,,,assistant·es,,,
associé,associée,associé·e,associé⋅e,,,,associé·es,,,
assureur,assureuse,assureur·e,assureu⋅r⋅e,,,,assureur·es,,,
astrologue,astrologue,astrologue,astrologue,,,,astrologues,,,
astronome,astronome,astronome,astronome,,,,astronomes,,,
attaché,attachée,attaché·e,attaché⋅e,,,,attaché·es,,,
auteur,auteure / autrice,auteur·e,au⋅teur⋅trice,,,,auteur·es,,,
auxiliaire,auxiliaire,auxiliaire,auxiliaire,,,,auxiliaires,,,
aviculteur,avicultrice,aviculteur·trice,avicul⋅teur⋅trice,,,,aviculteur·trices,,,
avocat,avocate,avocat·e,avocat⋅e,,,,avocat·es,,,
ayant droit,ayant droit,ayant droit,un⋅e ayant droit,,,,ayant droits,,,
bagagiste,bagagiste,bagagiste,bagagiste,,,,bagagistes,,,
banquier,banquière,banquier·ère,banquièr⋅e,,,,banquier·ères,,,
bibliothécaire,bibliothécaire,bibliothécaire,bibliothécaire,,,,bibliothécaires,,,
bijoutier,bijoutière,bijoutier·ère,bijoutièr⋅e,,,,bijoutier·ères,,,
biologiste,biologiste,biologiste,biologiste,,,,biologistes,,,
blanchisseur,blanchisseuse,blanchisseur·euse,blanchisseu⋅r⋅se,,,,blanchisseur·euses,,,
botaniste,botaniste,botaniste,botaniste,,,,botanistes,,,
bottier,bottière,bottier·ère,bottier⋅ère,,,,bottier·ères,,,
boucher,bouchère,boucher·ère,bouch⋅er⋅ère,,,,boucher·ères,,,
